pathway,SRR14660150,SRR14660161,SRR14660172,SRR14660183,SRR14660188,SRR14660189,SRR14660190,SRR14660191,SRR14660192,SRR14660193,SRR14660194,SRR14660195,SRR14660197,SRR14660198,SRR14660199,SRR14660200,SRR14660201,SRR14660202,SRR14660203,SRR14660204,SRR14660205,SRR14660206,SRR14660207,SRR14660208,SRR14660209,SRR14660210,SRR14660211,SRR14660212,SRR14660213,SRR14660214,SRR14660215,SRR14660217,SRR14660218,SRR14660219,SRR14660220,SRR14660221,SRR14660222,SRR14660223,SRR14660224,SRR14660226,SRR14660227,SRR14660228,SRR14660229,SRR14660230,SRR14660231,SRR14660232,SRR14660233,SRR14660234,SRR14660235,SRR14660238,SRR14660249,SRR14660250,SRR14660251
PWY-7254,525.3301,3658.8373,301.5207,173.4592,13436.0989,6713.9649,3366.9311,2513.4042,6461.3351,2678.9485,4706.5076,3146.5295,2666.6568,524.2813,2979.0641,3818.8451,4386.8854,3706.2504,2241.7954,7224.8422,5287.8627,2733.6503,4300.1218,1316.2875,1928.13,816.2373,2813.8448,3253.9564,327.8531,3371.8844,5124.1108,1512.2929,3900.747,2208.441,1396.3947,1176.8056,1272.2548,2772.2704,1657.0779,2063.9913,4059.4188,1182.8471,1236.9248,3554.0351,4563.3461,2834.349,628.4522,2845.3324,1382.9181,2733.2712,1984.9475,4387.0851,2136.4551
PWY-7286,0,0,0,0,384.5524,1670.6357,0,243.6552,0,2027.8571,0,0,0,525.1164,0,0,0,0,0,0,0,0,1872.7058,0,751.5066,0,124.5627,0,98.5103,0,0,0,0,0,3387.5713,213.0248,235.6202,0,1469.2028,0,0,0,0,0,0,19.9981,6.6662,0,0,0,0,0,42.6551
PWY-7295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7315,7872.5602,13261.0733,6770.4067,17318.7103,7899.7117,13081.7543,13367.6601,6006.1079,10807.4687,4931.9843,16571.4706,23196.9267,14183.0571,7384.4545,2042.416,9207.4609,10473.8269,6751.5734,8955.6417,11596.9215,8571.2296,6648.105,11156.815,4680.0868,8324.6624,2930.2545,7145.8642,4785.4588,2438.4781,6150.0502,4777.509,13136.576,4903.2776,9775.9229,5684.4423,8869.0786,11984.5242,13975.8063,5181.1537,14362.0194,9391.8372,12665.634,9359.2554,18926.1523,5820.7723,17551.4492,19038.5172,7493.3367,19628.161,8651.5972,12994.8283,7385.409,16320.5086
PWY-7323,14509.6438,22231.8676,17057.0385,13286.6178,19896.4541,18037.6001,29669.5442,17290.8632,27364.7059,22083.5005,20449.85,27602.4825,20846.4287,14924.2007,14894.7949,25147.5238,22541.2585,19025.5394,30481.2087,38705.7773,28236.3452,22406.4164,24639.3092,13174.4793,22409.3623,26785.9325,16386.7524,22235.9767,6940.4712,22824.9665,13135.5705,20591.8309,21209.0047,11602.8097,16406.9705,21341.7978,11654.06,29774.2376,14018.4007,23239.1826,18281.5402,17961.7875,22577.9626,29519.5285,18896.2696,22125.9017,10503.1232,18631.9304,19143.6279,18671.1606,16782.9943,23918.6101,13978.4591
PWY-7328,5228.2405,10403.5964,3872.6993,2952.2407,4790.1036,1683.4437,7913.1603,6226.1124,11790.3288,7697.1623,8640.0713,8842.2204,2207.2084,3344.5353,7800.4996,9276.8017,13987.9181,7300.6248,4772.1059,10382.4768,15122.9344,10602.1452,5727.8508,5088.1559,6277.2467,7097.1392,5282.1229,7118.867,1800.5212,5341.8051,7186.5148,9847.3347,6389.8335,5266.7106,9065.8688,5294.0616,1681.2663,9936.9339,4910.3346,7133.7112,3546.8791,5370.0236,14413.4208,12271.9174,12350.9102,6360.5805,6881.1336,6911.4208,10664.0798,10422.3581,6715.4644,13011.8958,7304.7621
PWY-7332,6498.1346,1861.6744,12796.04,11225.4437,1995.9594,5478.3098,3856.8504,5233.3426,6289.5022,2414.5497,5859.9848,7634.6521,2187.7338,5219.4612,11659.718,1361.0881,1798.9141,961.9331,2349.6554,715.4937,944.9028,1369.2427,2028.9564,8263.1577,1746.2054,801.0134,2084.0181,2183.0063,303.0802,2940.7874,2366.1912,939.1895,3828.8758,1660.0459,4843.4124,4437.5341,1981.3121,2714.9827,6969.5718,14232.5242,3017.2889,2028.9233,3046.0207,3118.7522,2358.2286,2580.0479,1125.6105,4409.14,3505.7193,3719.8075,7630.6961,1841.9678,2449.0507
PWY-7371,893,4028.1653,3822.9119,4,7023.8595,1894.1311,2931,1403.5,5364.7946,3351.9814,1202,1658.5,3362.27,2126.0078,2829.2836,710.5,248.5,1176.5031,0,3990.1526,9755.4998,2773.5,2788.8597,3518.8863,2897.3344,453,1443.6628,1408.7791,458.4989,3840.0834,1115.4075,0,2821.5,1295,629.6856,3975.8129,1264.5586,1276.5,501.9374,2222.3688,1510.16,306.2604,200.9525,803.5,356.7525,732.9566,15.5,589.9461,1779.8195,385,866.4653,1863.5,12
PWY-7373,0,0,7.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9661,0,0,0,0,0,0,0,0,0,0,11.7886,0,0,0,0,0,7.8677,0,0,0,0,0,0,0,0
PWY-7374,722.7333,3675.0668,942.2845,0,2770.3299,1698.6817,2285.5202,1249.0055,5031.219,2913.1617,1150.4888,1630.4037,2765.4787,1706.6603,2299.3314,552.285,0,1110.2022,0,3361.7434,9384.4759,2210.8176,1146.8467,3094.0644,2295.3767,453,1371.112,1258.729,368.0437,3659.3295,1003.201,0,2289.0205,1189.0108,476.919,3571.777,1230.6219,1181.5739,466.5843,1731.7877,1476.0417,4.9515,151.0085,0,322.5517,471.3571,14.3929,446.3721,1446.3226,0,621.1567,1793.1274,11.5789
PWY-7376,0,24.2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7611,0,0,0,0,0,0,0,0,0,0,0,0,9.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2352,12.2996,0,0,0,0,0,40.0695,0
PWY-7377,1805.311,421.0498,2356.1574,1533.1742,15483.3481,7163.0141,3129.275,2352.0037,2102.9246,11153.2099,6241.9612,6143.3717,913.2857,2583.5424,3034.5043,945.5103,701.6206,2062.2013,5893.1585,3654.8666,1070.3574,519.2417,11256.3939,2456.8426,6204.8364,2680.1315,5471.4275,1128.7571,583.2585,3400.9797,4415.3342,6042.1119,3630.9746,5601.8372,11391.8367,1975.3502,3200.9892,496.0853,10013.8066,4595.8269,1292.6642,2661.2675,5469.4105,6818.0094,165.4482,1444.0888,2060.1885,5936.9173,5506.8323,3501.7768,10430.2194,764.1261,449.186
PWY-7391,0,0,0,0,185.4103,374.9169,0,287.6011,0,20.5478,0,0,0,168.6083,0,0,0,0,0,0,0,0,298.4782,0,68.3644,0,306.3115,0,14.2082,0,0,0,0,0,4903.8401,223.146,173.3194,0,365.8676,0,0,0,0,0,0,54.3872,19.8879,0,0,0,0,0,96.3144
PWY-7392,9014.1278,11070.3618,9119.1383,10227.4037,11678.9936,24436.2658,13780.4637,7724.1512,12682.6051,16697.349,15045.8828,18960.9253,8679.9934,6238.5181,4786.3311,12275.898,14537.1093,11238.8985,9180.1942,19243.7981,26714.9475,9081.1024,19659.8614,6197.1805,7363.8543,6200.5762,13947.5068,8247.523,2095.6713,11313.8053,11709.3697,10794.6548,3183.5031,14145.3202,24519.5904,5406.377,9258.588,6594.2672,16159.0506,12957.5851,13653.2814,7473.3032,4088.0158,5837.5362,16466.7252,17646.9231,17682.8469,6454.7972,8085.5747,9488.6027,10476.6739,11092.4694,11471.5777
PWY-7400,31052.6235,39796.4567,38895.3305,37796.703,43484.6798,53752.298,56388.2192,36362.2292,36262.1172,35467.9112,32371.9143,43637.6217,38570.1416,20792.6248,29248.9142,36226.2272,33399.3751,28568.7843,39541.8334,37720.4334,47138.3316,34863.2413,41395.4826,34132.5241,36882.1421,33766.1265,30964.1754,37501.8951,12090.8563,35825.3214,27971.7937,33824.3257,25556.2894,40709.117,39348.1528,31463.3686,34424.8886,33685.2937,34086.4846,37588.4794,43237.3199,33469.4319,34080.8846,40641.0295,37992.9785,47463.6322,31353.5434,45610.779,37950.7048,40423.5813,37667.0083,30683.9903,39938.9175
PWY-7431,8.2343,32.9816,7.3323,5.4912,39.2768,205.1103,137.0213,317.7467,27.6406,132.235,0,28.8048,160.3708,0,31.503,7.9715,0,198.8272,28.4069,132.0429,477.7184,66.5048,72.8237,314.1001,48.1681,322.6696,89.3338,613.5339,12.3561,3062.5187,38.6516,8.6506,6.9487,4.3177,10.9431,5.1749,0,157.8367,67.3161,702.9039,21.3508,65.2678,0,0,0,81.067,0,104.5153,38.7828,444.4462,12.4873,150.1239,0
PWY-7446,169.8776,23.4468,0.5239,17.2077,15.7827,23.529,0,12.2388,0,187.6096,127.4108,807.5998,0,19.2103,12.5761,20.2262,0,46.7404,73.4497,2739.8331,14.9444,5.9214,0,0,3.5778,0,0,29.7254,0,2.0956,1.3272,21.2449,178.3398,4.4965,33.6436,0,4.3563,5.4406,52.1209,3.104,0,1.488,48.553,18.4667,927.49,9.8941,91.016,0,0,0,1.5029,0,78.5481
PWY-7456,12662.5821,17258.2501,11863.7289,10856.2351,15446.1568,10710.1532,17551.3592,14429.8581,18360.4332,18288.0346,12034.3024,21792.2434,13995.054,10174.01,12905.4639,20455.5763,17370.4867,12883.4874,27287.8488,22950.4838,13606.2769,18253.6581,16135.1935,9944.8604,15519.6056,20473.0745,11131.7188,15914.3284,5812.5978,14037.9419,9518.953,12894.4878,12016.7952,6459.4229,9047.2847,14336.9239,6533.2506,21290.2417,8434.4515,16622.2448,10708.5164,15293.3797,18680.8607,21952.6572,12428.5177,12978.3029,5718.0601,11191.3776,12311.0901,14260.3313,13368.0452,19923.1143,8835.5419
PWY-7527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2686,0,0,0,0,0,0,0,67.7623,0,0,0,6.2374,0,0,0,9.7995,0,0,4.8259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7539,22764.8183,30089.3782,21682.418,25555.9055,27463.9951,28285.4415,39272.8694,26675.2967,32154.1962,25582.0951,25183.7987,32503.0084,30572.4222,16826.197,19649.2542,29910.1215,25628.176,22959.8085,39060.4637,36029.666,30036.1067,27656.3078,27302.5382,21315.3285,26132.1682,33107.8054,20386.0525,26545.5981,7986.3358,28063.5082,18969.6354,23437.9925,21187.9805,24146.5358,21351.3193,21724.0046,18898.5357,35874.2337,19410.8654,29146.5374,28741.2274,23586.7705,28321.1019,39306.1492,34176.0951,29022.2848,19016.8046,20775.1181,27146.4468,25726.0689,28652.2964,31172.4671,26123.7512
PWY-7560,37407.2252,51789.0734,43888.9401,40625.4283,51093.5838,56314.8036,67295.5283,46044.3672,48526.8732,42485.6587,36016.078,48016.307,46534.8429,25786.1068,37749.6346,49243.2325,41584.3029,40860.3212,54178.3333,48289.3025,54636.6414,43885.6219,48881.2868,41845.2332,47726.6915,50959.0748,39568.3891,45439.5234,15473.4839,45374.7732,38080.252,39010.1199,33364.6871,46616.3656,37382.4513,38675.146,39510.986,51339.3744,38472.869,41955.1511,52893.8802,39837.2853,47442.345,52294.8283,40171.606,57610.2041,29781.8036,52370.03,45098.1681,51519.9175,43661.8427,45065.4913,42982.6881
PWY-7616,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-7644,30.5642,0,3.96,0,0,0,0,0,0,20.2695,49.774,13.9113,0,0,0,0,9.9564,0,9.94,21.8144,0,14.1941,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6825,0,0,0,9.7448,0,0,11.8934,0,0,14.6817,0,0,0,0,0,0,0
PWY-7663,45654.6645,62912.1881,56274.6768,44860.5698,57954.9463,64499.2159,84106.7236,55526.7494,58563.5478,50821.9837,41922.2717,59221.4288,56450.3672,30660.0866,44508.8392,63579.3616,51375.4336,47592.9299,66529.5471,60365.5183,65638.7344,53809.6896,59734.594,47299.0823,59669.0522,65495.9903,48050.782,56125.2751,18627.6171,56279.3305,44972.2559,48992.752,45717.3981,51544.1161,44711.637,47650.662,42437.2021,66252.2503,43213.7001,50041.1288,57595.0082,49397.642,58821.3407,68178.2463,50251.6731,69542.7006,33435.1042,63312.7139,53441.2491,63247.4313,52335.8658,54773.5071,48061.9171
PWY-7664,19239.9901,15039.8564,32077.5081,10237.2673,15268.7327,11307.0861,31294.3663,12015.9339,11907.2184,8450.4556,9318.556,25603.567,11089.8534,8568.134,13837.3776,35750.0448,23234.6819,17589.3208,10801.4457,18893.8378,6219.8041,25092.2322,29533.916,5871.6856,29187.9525,28232.1468,18173.2905,21166.7846,7207.2106,21884.284,14413.5299,23614.6525,26515.1428,8309.898,5346.1237,12432.423,3102.9677,29049.795,2009.047,12512.6578,16044.3247,10918.6302,15546.9369,31591.5671,11640.4912,18869.3066,4697.5779,9656.4962,6095.9411,22908.072,4988.8475,10452.6479,8981.8605
PWY-841,19658.9439,30664.2918,23103.9618,15185.1,33046.6017,31921.7208,41634.8921,21717.6663,31744.3547,28430.3339,25410.3433,32178.3127,17568.3437,14367.5112,19807.9192,33581.2796,31632.3782,25335.3366,36510.3183,33694.3524,40667.8435,25566.1771,30072.1864,17124.212,29262.1915,32455.585,21790.4037,28745.5653,6404.6632,21262.7812,16959.2497,24211.2105,25170.7297,15435.3538,29689.8883,23383.5675,16732.6891,34179.3345,20755.0237,23681.6877,26642.9182,14372.3678,29738.0172,35890.8958,30646.287,28810.9462,14937.852,29468.103,26406.3148,25961.9332,16142.7666,24958.7866,23115.4594
PWY-922,622.6564,10.535,1004.4346,241.352,219.8814,870.4576,183.2879,314.4949,132.1112,26.8917,66.9893,356.1699,317.6753,204.6651,475.7234,204.9767,678.704,48.0021,113.0915,214.5286,83.5247,276.679,375.9535,17.2379,87.5187,80.3972,1086.1195,363.8624,17.9883,139.7411,88.7104,225.8043,231.0882,1445.1914,6573.5313,244.9643,198.1694,83.4895,451.6585,713.4051,139.0511,205.2354,192.1044,264.6492,3426.0157,406.8044,2534.2847,44.4117,183.8973,3.1492,567.5069,407.5268,269.3717
PWY0-1061,19442.4585,23021.0885,20941.202,31727.0712,24304.0041,32547.6465,23212.5214,19060.7508,21934.2251,16603.4025,24236.8779,31352.5741,27579.6614,13252.6321,12783.2317,21424.7619,19612.6685,14341.8619,21187.7724,21933.3811,27115.3886,18601.7652,20140.3766,20014.1617,19807.8553,16605.679,15018.2433,17697.2941,4378.5621,17170.0228,14754.5656,19319.1686,12865.5136,33778.5251,27318.2789,16047.6897,24673.6183,22170.8369,19819.7528,26083.4121,28056.1609,19816.2546,18172.472,29274.7067,38071.5549,31356.7691,25579.3613,22773.9203,27579.2307,24011.334,26510.6313,19521.6756,34392.4073
PWY0-1241,1413.2392,4875.3989,856.7069,1246.0641,3022.5731,4382.4428,2573.932,3002.0427,4893.845,3588.9682,4522.5442,4788.6588,2852.6404,1667.1622,2907.0478,3834.4837,3977.7036,3872.1288,4844.8612,8104.7169,8731.3495,5642.602,3371.2608,1434.0466,877.6328,4404.3626,2614.2554,2221.6362,1128.9229,4086.7431,4997.843,1014.1983,1286.8933,1583.1378,1154.8504,2201.9633,1694.8694,4783.7012,1666.1926,4027.6395,4141.3681,3763.7623,3834.2147,4138.5998,1309.3583,2352.3389,3382.2954,1987.99,656.7438,2839.6166,2175.9853,5143.206,2737.2819
PWY0-1261,17712.0569,28777.3788,15267.5236,14620.5375,12236.3136,15773.3162,19734.4193,25267.2712,23487.3882,30107.7102,16379.6053,29123.966,27416.3721,15679.9829,24400.3762,27688.9145,23514.1323,14180.8152,33132.3981,33211.4919,6763.5805,28187.1825,16298.5773,11043.2612,2417.3122,32969.1674,8067.5531,16035.4435,6612.2573,20217.1097,16032.0933,23373.4815,16726.3792,5559.1574,10215.3908,19816.1415,10441.5007,31319.1929,12599.4447,25943.6217,17037.7514,25859.2151,28515.3153,21710.7231,10812.0028,9905.894,4942.7144,21727.2652,831.4172,20311.1141,23573.3721,34111.8814,13964.9144
PWY0-1277,335.6036,3.3727,1.717,11.3399,38.6038,33.5914,0,0,0,305.1938,260.9359,452.271,0,0,19.4388,17.5377,0,391.068,57.1774,4337.9914,17.7484,0,0,0,13.973,0,0,79.666,3.9982,9.4984,5.562,0,437.8565,13.2762,112.7076,0,7.7322,0,109.6844,6.8489,0,4.1311,92.8097,13.5916,1965.5086,5.8683,158.0688,0,0,0,3.3499,0,115.7524
PWY0-1296,33925.5525,41642.8652,31013.516,38926.0164,41784.496,47471.3087,51663.9932,37091.4364,37436.521,24393.2254,31863.5886,44417.8918,38560.1577,17576.3336,28068.1936,40761.6375,35449.0985,30136.2922,42793.5897,26899.8417,37632.9791,34701.9297,37441.0778,30380.853,32823.644,35439.9401,33059.5851,29898.7397,10856.1923,34459.2715,32072.551,38986.7079,17659.4432,42337.8893,22533.2743,24067.87,42070.1948,34389.7371,26930.4478,34984.3362,48773.3004,34448.1159,41601.1539,42328.9648,39260.4939,55673.3167,33082.6002,32849.1115,37984.8849,46816.4975,36846.3755,36308.3346,38093.6889
PWY0-1297,28643.8219,35751.8212,29677.7292,31164.6785,34489.4502,40928.3295,44760.0307,31788.2444,31458.708,23174.0162,25084.1791,37186.0874,33945.1076,16920.8963,22319.773,33039.4069,28185.4041,26718.9591,32899.1841,25833.3944,35310.9103,26805.9586,34657.2036,27331.2742,29891.9261,31095.4406,28473.7368,27642.658,10408.0715,30810.6467,29094.2379,32314.3891,16964.5314,37795.58,23923.5947,21990.0324,35502.2863,29990.0742,25876.0441,30232.0607,39007.5966,28620.6404,32701.834,35473.451,25346.0721,48734.5804,28178.6566,31740.6242,33349.6069,39778.1013,32450.7111,30671.3783,34068.5807
PWY0-1298,28558.3718,35314.1745,29120.5285,31750.777,34242.9966,41001.2119,44717.5363,31577.6875,31540.0732,22593.1091,25734.7841,37767.4736,33465.6979,16791.2289,21681.3482,32857.6971,28556.6135,26373.6522,33070.7781,25601.6255,34066.4296,26508.8945,33908.8933,26601.3302,29154.9585,30510.7372,27585.0626,27244.4974,10232.1793,30045.5538,28091.3422,31598.0547,16630.6749,36778.9715,23323.4744,21565.4097,34341.7715,29667.2337,25314.6816,30398.7222,38271.7141,28615.4701,32108.9262,35434.1519,31712.2268,48251.8519,27820.0943,30595.8569,33243.6435,38846.15,31112.4177,30545.8183,33638.0082
PWY0-1319,43553.5837,59710.0681,53426.0413,49397.962,56636.4677,67764.8994,76969.8099,54247.041,54812.1284,48082.056,42172.5327,55195.9626,55243.3137,28942.5681,43501.5214,55911.3032,47896.6626,45952.0067,60426.6305,52896.2798,63471.2142,50280.7991,56981.3636,49073.9023,53732.4759,55818.0114,46386.1056,51742.7742,17558.6164,51313.3368,44226.4655,46330.9539,37502.6326,57047.5307,48774.7848,42483.0423,46193.4974,55347.5084,46379.6169,48252.854,61784.7932,46784.0095,55203.4918,60498.3307,51463.0408,69078.8704,39463.2279,59966.705,54211.2914,60975.976,52264.7451,52018.5098,50790.9195
PWY0-1338,208.0225,0.75,0.5,5.4169,13.4957,13.4299,3.7496,0,0,207.8413,157.1607,1336.7632,1.0416,6.2485,4.7475,29.2223,24.8925,359.967,79.2808,2995.7234,5.7483,0,0,6.2475,2.9995,0,0,32.6722,2.4989,1.9998,4.5862,22.7397,209.6069,10.4967,93.549,0,5.2334,0,55.1724,3.8794,0,1.9321,57.711,18.6441,1057.4282,1.25,84.2532,0,0,0,1,31.0712,70.4991
PWY0-1415,439.5403,385.7758,1490.2114,944.9934,1071.4896,1394.9338,53.511,152.0548,2501.4043,1500.9711,300.1079,2212.1122,453.8657,210.528,390.991,663.1705,676.4652,1786.6737,163.2224,4962.0376,127.232,235.5729,1105.6334,502.7335,594.1094,382.0954,1077.2811,1252.7141,210.674,1575.8247,781.578,529.7444,821.7737,1517.6912,363.2734,496.8086,981.9931,1491.3347,1992.4907,383.1924,2413.5243,377.1049,129.7275,134.9571,1897.6563,1403.4878,654.7156,1095.123,954.7143,856.6413,201.1213,2090.298,536.3436
PWY0-1479,1632.5547,3925.2705,1691.9722,640.7584,3512.8385,3222.1677,4816.2776,1454.4624,1421.7884,2293.9793,2491.2692,5388.6395,5.1478,2784.2089,5858.8769,2462.2271,5400.9476,3700.3209,1505.2431,9950.7088,11492.0842,3456.3213,397.9513,1730.3615,1719.3127,908.4203,2880.2625,2626.5738,478.9224,3942.4788,1863.3744,5919.4222,5106.553,1691.2663,1314.1047,1422.0913,2597.9581,2653.924,3078.2533,3593.6207,3699.7291,27.3915,2305.3695,2003.6926,3582.4227,1999.3981,1984.4211,948.4699,378.7797,4187.1869,413.6758,3315.0283,1560.6363
PWY0-1533,511.8212,1857.255,845.0749,398.7028,319.7039,1338.1117,569.9719,435.0499,980.2716,878.5238,617.2684,894.7366,554.2485,296.0388,532.7999,399.3031,539.997,897.292,310.9205,5507.0415,687.1192,1412.3125,187.8342,735.2882,266.709,189.139,308.1089,1128.6885,100.65,562.823,284.8342,260.0028,1482.1518,966.5499,223.3805,289.2602,725.3163,424.9469,317.456,775.9756,536.4943,820.1794,109.3019,751.8842,2722.6986,1142.347,748.9421,1392.8647,431.7283,445.6045,422.7343,112.7693,291.8874
PWY0-1586,36711.7756,37019.6607,40727.5791,49802.2246,41440.5935,52261.3098,53300.733,39432.5082,29450.3768,26625.9054,28705.4753,44753.0115,40513.9641,18152.1095,26526.3856,31777.6561,28998.6835,28888.2627,35579.4631,34201.0413,37903.2338,27018.8224,35091.1784,37989.4446,35185.864,24956.7059,29953.5736,36527.5039,10586.9356,32814.57,23945.1495,29829.5828,20424.9449,45545.6496,38133.3591,24495.9357,35193.6985,29453.4394,35774.6775,36333.6595,43192.9343,35033.728,28502.1152,43485.7066,26225.0312,51275.7176,41580.0322,46366.9921,44600.7494,38708.4351,41682.9636,25295.5347,43331.5736
PWY0-162,18188.4634,29005.8686,21559.9352,13610.7774,33209.3097,30290.2871,39805.3493,20189.6767,30392.2449,27264.0177,24082.4193,29873.9271,15729.9323,13208.9337,18422.411,31869.6009,30122.6416,24359.4853,35242.5961,31670.7295,40886.0254,24031.7955,27888.9469,17181.9321,27966.5168,30976.1783,20461.7718,27781.5707,5802.214,19475.4758,15480.9113,22417.4434,24481.6675,13778.8346,28857.151,22097.9486,15257.1868,32557.9073,19790.758,21843.3478,24866.9741,12803.2137,28267.1395,34675.3921,33095.4676,26299.3801,13417.2279,28070.1217,25089.4198,24281.1565,14495.049,23101.6126,21819.418
PWY0-166,15551.609,24283.9587,19108.1476,12484.706,26506.2006,26762.105,32609.3926,17637.5198,24847.5913,23081.5437,18911.9993,23110.9186,14759.351,11455.9463,16553.1279,25613.8962,22271.8101,19263.2017,25333.1557,25988.9097,32246.8536,20729.1272,25200.4421,14675.1865,23993.5756,25411.3599,17615.5981,23170.7512,5354.2901,17904.6829,13757.5359,17912.5346,20219.4237,13375.797,25387.0072,19231.7741,14129.3726,25807.2249,17468.8085,18782.8954,21883.3895,11622.138,22158.0715,24651.7407,28001.438,23667.1815,11611.3081,24069.7206,20502.9605,20843.7026,13381.4685,19750.7317,18717.9621
PWY0-321,0,0,0,0,0,0,0,0,0,0,0,401.0764,0,0,0,4.4002,4.13,442.1349,7.1964,8.1127,0,0,0,0,0,0,0,5.6912,3.9375,0,5.8249,0,61.1348,0,65.3009,0,0,0,3.3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY0-41,6630.9462,2331.0403,941.7654,1424.4622,1820.2396,3099.4648,964.2805,2212.7083,1461.3897,1356.5199,1471.1288,1276.5523,1192.262,945.0932,1827.2421,1429.8175,501.0881,1864.9324,1361.6733,3995.2189,1069.6511,885.8893,895.846,799.0755,2375.1682,926.0517,1751.615,780.1846,460.8548,1469.5575,2182.3311,504.8568,1673.6576,3225.3001,2339.0814,568.2932,3870.3438,802.6638,1171.3225,1952.258,1680.1177,1688.4956,1935.0762,1623.2534,2986.0327,3972.986,2509.4589,1421.8008,1129.3415,1240.4975,1942.2531,1114.6147,2037.5119
PWY0-42,165.9579,13.9323,0.663,17.385,14.4606,8.9291,131,60,16.9355,148.6,113.073,834.2852,0,28.4424,10.6055,35.4477,12.8619,64.4391,65.1784,2731.3142,18.9196,13.2673,36.6667,10.281,85.8498,0,2,39.4064,5.6452,209.1265,16.0611,16.5979,562.7728,12.4247,31.771,0,2.4,0,46.0802,1.9789,41.1142,0.9939,48.3215,35.0384,903.9637,31.3151,89.1109,9.3023,0,20.7158,0.9818,8.8235,58.5483
PWY0-781,17011.1681,16688.3358,16656.804,17709.81,21757.8444,29663.388,26605.3552,18384.567,20257.3752,17679.234,18845.6594,20886.4191,16699.8313,12102.2446,16267.7956,21473.8383,17687.9017,16861.6003,17654.7494,24114.1945,22088.0873,21161.1621,22075.5838,20640.2728,21898.2754,16473.8666,16041.0724,18965.8407,4568.8032,18851.2969,18694.311,17559.5949,11558.0658,28560.2681,26337.7223,12017.6219,15332.9854,16834.0666,19121.9141,17935.5809,22290.6321,13273.8831,15286.9049,17244.1449,25329.9568,21838.2234,16214.2711,14943.5982,19648.2932,23153.5086,19710.3899,17207.3159,24912.8031
PWY0-845,9286.8734,14968.9058,11709.9101,7310.111,6740.3189,6424.3971,15098.7914,12990.3461,17693.2401,16768.1774,11521.0661,18096.9879,12481.6824,9762.5896,11330.8635,18617.9345,15407.8324,5062.9852,18810.4065,25492.1149,11017.8911,15089.4033,10174.821,9071.5348,15292.7888,17541.7073,2667.117,13293.8507,2487.3901,10546.7283,6687.8921,6547.1519,11733.4607,4085.3512,10154.7068,13966.9026,3417.815,22447.1712,7157.1783,16082.7507,5393.5075,12374.3808,17902.2551,15682.8294,16676.0729,5863.1398,2169.228,13444.7627,11357.1834,7526.7091,11070.6986,19784.5936,8426.2617
PWY0-862,17299.1376,13249.5065,29526.6749,9001.9485,13465.2819,9888.1749,28023.1846,10553.8828,10432.1889,7381.8969,8186.2991,23058.3299,9717.8066,7575.5452,12285.3516,32714.522,20957.9993,15775.5208,9419.4044,16749.9743,5390.3488,22687.8132,26898.0993,5105.4894,26549.1198,25419.6505,16297.9198,18969.32,6467.9332,19680.4678,12842.3515,21403.3288,24441.6202,7257.1628,4648.778,10981.5288,2681.3571,26163.2637,1731.5255,11024.1847,14199.1568,9594.3962,13719.4756,28527.2869,10252.522,16694.3242,4729.601,8431.7803,5291.518,20489.4084,4322.4201,9143.388,7861.3522
PWY1G-0,16.2425,4.9995,0,0,0.4125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9992,0,0,0,0,3.7498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4998,0,0,10.622,0,0,0,0,0,0,0,0
PWY490-3,6905.1095,14681.7474,6126.5305,6499.7271,11470.3677,9258.3627,14441.7906,11863.8248,10288.4941,6343.2603,6652.1736,5911.4624,10223.7544,5331.5685,9369.361,14498.7568,11976.4918,8225.7997,13108.2664,3156.396,8857.8811,15148.5982,8857.2886,9176.7239,9981.5317,16658.4361,13595.9665,6945.1681,3397.1745,11156.0092,14611.0542,14426.9972,6242.4967,15289.0726,5197.9244,6466.5212,14419.0507,12628.1921,6798.1203,6038.0009,20558.8298,8826.8051,18495.2277,8955.0069,19364.5845,17333.6331,3847.1878,9935.8845,10570.8176,19166.8167,8324.9608,15508.3086,8022.7233
